name,link,upvotes,downvotes,year,order,total_votes,vote_diff,vote_diff_normalized,ratio,updated_order,inverse_order,bayes
Lost Cherry Tom Ford (unisex) ~ 2018,https://www.fragrantica.com/perfume/Tom-Ford/Lost-Cherry-51411.html,994,434,2018,1,1428,560,1.0,0.696078431372549,1.0,213.0,0.6864754098360656
L’Homme Idéal Eau de Parfum Guerlain (male) ~ 2016,https://www.fragrantica.com/perfume/Guerlain/L-Homme-Ideal-Eau-de-Parfum-37735.html,637,181,2016,2,818,456,0.8306188925081434,0.7787286063569682,2.0,212.0,0.7587822014051522
La Petite Robe Noire Guerlain (female) ~ 2012,https://www.fragrantica.com/perfume/Guerlain/La-Petite-Robe-Noire-14681.html,439,273,2012,3,712,166,0.3583061889250814,0.6165730337078652,3.0,211.0,0.6016042780748663
Rouge Smoking BDK Parfums (unisex) ~ 2018,https://www.fragrantica.com/perfume/BDK-Parfums/Rouge-Smoking-51468.html,405,241,2018,4,646,164,0.3550488599348534,0.6269349845201239,4.0,210.0,0.6099706744868035
Lovefest Burning Cherry | 48 Eau de Parfum Kayali Fragrances (unisex) ~ 2022,https://www.fragrantica.com/perfume/Kayali-Fragrances/Lovefest-Burning-Cherry-48-Eau-de-Parfum-75661.html,380,248,2022,5,628,132,0.30293159609120524,0.6050955414012739,5.0,209.0,0.588855421686747
Black Perfecto by La Petite Robe Noire Guerlain (female) ~ 2017,https://www.fragrantica.com/perfume/Guerlain/Black-Perfecto-by-La-Petite-Robe-Noire-45017.html,298,187,2017,6,485,111,0.2687296416938111,0.6144329896907217,6.0,208.0,0.5930902111324377
Cherry Punk Room 1015 (unisex) ~ 2020,https://www.fragrantica.com/perfume/Room-1015/Cherry-Punk-61264.html,225,170,2020,7,395,55,0.1775244299674267,0.569620253164557,7.0,207.0,0.5475638051044084
L'Interdit Eau de Parfum Rouge Givenchy (female) ~ 2021,https://www.fragrantica.com/perfume/Givenchy/L-Interdit-Eau-de-Parfum-Rouge-68404.html,248,248,2021,8,496,0,0.08794788273615635,0.5,8.0,206.0,0.4868421052631579
L'Homme Idéal Extrême Guerlain (male) ~ 2020,https://www.fragrantica.com/perfume/Guerlain/L-Homme-Ideal-Extreme-60284.html,140,76,2020,9,216,64,0.19218241042345277,0.6481481481481481,9.0,205.0,0.5992063492063492
Wet Cherry Liquor Bohoboco (unisex) ~ 2022,https://www.fragrantica.com/perfume/Bohoboco/Wet-Cherry-Liquor-74151.html,146,116,2022,10,262,30,0.13680781758957655,0.5572519083969466,10.0,204.0,0.5268456375838926
