name,link,upvotes,downvotes,year,order,total_votes,vote_diff,vote_diff_normalized,ratio,updated_order,inverse_order,bayes
Un Jardin Sur Le Nil Hermès (unisex) ~ 2005,https://www.fragrantica.com/perfume/Hermes/Un-Jardin-Sur-Le-Nil-18.html,290,87,2005,1,377,203,1.0,0.7692307692307693,1.0,617.0,0.7583547557840618
Light Blue Dolce&Gabbana (female) ~ 2001,https://www.fragrantica.com/perfume/Dolce-Gabbana/Light-Blue-485.html,301,143,2001,2,444,158,0.8125,0.6779279279279279,2.0,616.0,0.6710526315789473
Mugler Cologne Mugler (unisex) ~ 2001,https://www.fragrantica.com/perfume/Mugler/Mugler-Cologne-708.html,214,77,2001,3,291,137,0.725,0.7353951890034365,3.0,615.0,0.7227722772277227
Neroli Portofino Tom Ford (unisex) ~ 2011,https://www.fragrantica.com/perfume/Tom-Ford/Neroli-Portofino-12192.html,191,89,2011,4,280,102,0.5791666666666666,0.6821428571428572,4.0,614.0,0.6712328767123288
Aqua Allegoria Herba Fresca Guerlain (unisex) ~ 1999,https://www.fragrantica.com/perfume/Guerlain/Aqua-Allegoria-Herba-Fresca-60.html,162,41,1999,5,203,121,0.6583333333333333,0.7980295566502463,5.0,613.0,0.7767441860465116
Un Jardin en Méditerranée Hermès (unisex) ~ 2003,https://www.fragrantica.com/perfume/Hermes/Un-Jardin-en-Mediterranee-19.html,156,45,2003,6,201,111,0.6166666666666667,0.7761194029850746,6.0,612.0,0.755868544600939
Chance Eau Fraiche Chanel (female) ~ 2007,https://www.fragrantica.com/perfume/Chanel/Chance-Eau-Fraiche-1483.html,172,81,2007,7,253,91,0.5333333333333333,0.6798418972332015,7.0,611.0,0.6679245283018868
Dior Homme Cologne 2013 Dior (male) ~ 2013,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Cologne-2013-17256.html,142,36,2013,8,178,106,0.5958333333333333,0.797752808988764,8.0,610.0,0.7736842105263158
Versace Man Eau Fraiche Versace (male) ~ 2006,https://www.fragrantica.com/perfume/Versace/Versace-Man-Eau-Fraiche-644.html,149,58,2006,9,207,91,0.5333333333333333,0.7198067632850241,9.0,609.0,0.7031963470319634
Green Tea Elizabeth Arden (female) ~ 1999,https://www.fragrantica.com/perfume/Elizabeth-Arden/Green-Tea-83.html,152,71,1999,10,223,81,0.4916666666666667,0.6816143497757847,10.0,608.0,0.6680851063829787
4711 Original Eau de Cologne 4711 (unisex),https://www.fragrantica.com/perfume/4711/4711-Original-Eau-de-Cologne-3256.html,142,56,0,11,198,86,0.5125,0.7171717171717171,11.0,607.0,0.7
Acqua di Gio Giorgio Armani (male) ~ 1996,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-410.html,139,62,1996,12,201,77,0.475,0.6915422885572139,12.0,606.0,0.676056338028169
Versense Versace (female) ~ 2009,https://www.fragrantica.com/perfume/Versace/Versense-5752.html,109,37,2009,13,146,72,0.45416666666666666,0.7465753424657534,13.0,605.0,0.7215189873417721
L'Eau d'Issey Pour Homme Issey Miyake (male) ~ 1994,https://www.fragrantica.com/perfume/Issey-Miyake/L-Eau-d-Issey-Pour-Homme-721.html,118,61,1994,14,179,57,0.39166666666666666,0.659217877094972,14.0,604.0,0.643979057591623
Virgin Island Water Creed (unisex) ~ 2007,https://www.fragrantica.com/perfume/Creed/Virgin-Island-Water-899.html,103,37,2007,15,140,66,0.4291666666666667,0.7357142857142858,15.0,603.0,0.7105263157894737
Eau Parfumee au The Vert Bvlgari (unisex) ~ 1992,https://www.fragrantica.com/perfume/Bvlgari/Eau-Parfumee-au-The-Vert-144.html,94,21,1992,16,115,73,0.4583333333333333,0.8173913043478261,16.0,602.0,0.7795275590551181
Bronze Goddess Eau Fraiche Skinscent 2014 Estée Lauder (female) ~ 2014,https://www.fragrantica.com/perfume/Estee-Lauder/Bronze-Goddess-Eau-Fraiche-Skinscent-2014-25142.html,99,40,2014,17,139,59,0.4,0.7122302158273381,17.0,601.0,0.6887417218543046
Aqua Allegoria Mandarine Basilic Guerlain (female) ~ 2007,https://www.fragrantica.com/perfume/Guerlain/Aqua-Allegoria-Mandarine-Basilic-2060.html,89,24,2007,18,113,65,0.425,0.7876106194690266,18.0,600.0,0.752
Le Jardin de Monsieur Li Hermès (unisex) ~ 2015,https://www.fragrantica.com/perfume/Hermes/Le-Jardin-de-Monsieur-Li-29818.html,89,32,2015,19,121,57,0.39166666666666666,0.7355371900826446,19.0,599.0,0.706766917293233
Chanel N°19 Chanel (female) ~ 1970,https://www.fragrantica.com/perfume/Chanel/Chanel-N019-11.html,97,49,1970,20,146,48,0.3541666666666667,0.6643835616438356,20.0,598.0,0.6455696202531646
Eau Sauvage Dior (male) ~ 1966,https://www.fragrantica.com/perfume/Dior/Eau-Sauvage-231.html,77,17,1966,21,94,60,0.4041666666666667,0.8191489361702128,21.0,597.0,0.7735849056603774
Cheap & Chic I Love Love Moschino (female) ~ 2004,https://www.fragrantica.com/perfume/Moschino/Cheap-Chic-I-Love-Love-728.html,85,34,2004,22,119,51,0.3666666666666667,0.7142857142857143,22.0,596.0,0.6870229007633588
Acqua di Gioia Giorgio Armani (female) ~ 2010,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gioia-8442.html,91,52,2010,23,143,39,0.31666666666666665,0.6363636363636364,23.0,595.0,0.6193548387096774
Cool Water Davidoff (female) ~ 1996,https://www.fragrantica.com/perfume/Davidoff/Cool-Water-508.html,87,50,1996,24,137,37,0.30833333333333335,0.635036496350365,24.0,594.0,0.6174496644295302
Aqva Amara Bvlgari (male) ~ 2014,https://www.fragrantica.com/perfume/Bvlgari/Aqva-Amara-22675.html,78,35,2014,25,113,43,0.33333333333333337,0.6902654867256637,25.0,593.0,0.664
Ô de Lancôme Lancôme (female) ~ 1969,https://www.fragrantica.com/perfume/Lancome/O-de-Lancome-187.html,68,19,1969,26,87,49,0.35833333333333334,0.7816091954022989,26.0,592.0,0.7373737373737373
Chanel No 5 L'Eau Chanel (female) ~ 2016,https://www.fragrantica.com/perfume/Chanel/Chanel-No-5-L-Eau-38543.html,93,70,2016,27,163,23,0.25,0.5705521472392638,27.0,591.0,0.56
Aqua Allegoria Pamplelune Guerlain (female) ~ 1999,https://www.fragrantica.com/perfume/Guerlain/Aqua-Allegoria-Pamplelune-57.html,65,14,1999,28,79,51,0.3666666666666667,0.8227848101265823,28.0,590.0,0.7692307692307693
Cristalle Eau Verte Chanel (female) ~ 2009,https://www.fragrantica.com/perfume/Chanel/Cristalle-Eau-Verte-5909.html,61,13,2009,29,74,48,0.3541666666666667,0.8243243243243243,29.0,589.0,0.7674418604651163
Eau des Merveilles Hermès (female) ~ 2004,https://www.fragrantica.com/perfume/Hermes/Eau-des-Merveilles-9.html,73,39,2004,30,112,34,0.29583333333333334,0.6517857142857143,30.0,588.0,0.6290322580645161
Terre d'Hermès Hermès (male) ~ 2006,https://www.fragrantica.com/perfume/Hermes/Terre-d-Hermes-17.html,86,65,2006,31,151,21,0.24166666666666667,0.5695364238410596,31.0,587.0,0.558282208588957
Mandarino di Amalfi Tom Ford (unisex) ~ 2014,https://www.fragrantica.com/perfume/Tom-Ford/Mandarino-di-Amalfi-25481.html,67,32,2014,32,99,35,0.30000000000000004,0.6767676767676768,32.0,586.0,0.6486486486486487
Omnia Crystalline Bvlgari (female) ~ 2005,https://www.fragrantica.com/perfume/Bvlgari/Omnia-Crystalline-152.html,75,49,2005,33,124,26,0.2625,0.6048387096774194,33.0,585.0,0.5882352941176471
CK One Calvin Klein (unisex) ~ 1994,https://www.fragrantica.com/perfume/Calvin-Klein/CK-One-276.html,63,25,1994,34,88,38,0.3125,0.7159090909090909,34.0,584.0,0.68
Eau de Rhubarbe Ecarlate Hermès (unisex) ~ 2016,https://www.fragrantica.com/perfume/Hermes/Eau-de-Rhubarbe-Ecarlate-35375.html,64,30,2016,35,94,34,0.29583333333333334,0.6808510638297872,35.0,583.0,0.6509433962264151
Allure Homme Sport Chanel (male) ~ 2004,https://www.fragrantica.com/perfume/Chanel/Allure-Homme-Sport-607.html,65,34,2004,36,99,31,0.2833333333333333,0.6565656565656566,36.0,582.0,0.6306306306306306
D&G Anthology L'Imperatrice 3 Dolce&Gabbana (female) ~ 2009,https://www.fragrantica.com/perfume/Dolce-Gabbana/D-G-Anthology-L-Imperatrice-3-6086.html,69,42,2009,37,111,27,0.26666666666666666,0.6216216216216216,37.0,581.0,0.6016260162601627
Chance Eau Tendre Chanel (female) ~ 2010,https://www.fragrantica.com/perfume/Chanel/Chance-Eau-Tendre-8069.html,62,30,2010,38,92,32,0.2875,0.6739130434782609,38.0,580.0,0.6442307692307693
