name,link,upvotes,downvotes,year,order,total_votes,vote_diff,vote_diff_normalized,ratio,updated_order,inverse_order,bayes
Althaïr Parfums de Marly (male) ~ 2023,https://www.fragrantica.com/perfume/Parfums-de-Marly/Althair-84109.html,3857,2696,2023,0,6553,1161,0.9262551044919529,0.588585380741645,1.0,787.0,0.41771058315334775
Le Male Elixir Jean Paul Gaultier (male) ~ 2023,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Elixir-81642.html,4164,2696,2023,1,6860,1468,1.0,0.606997084548105,2.0,786.0,0.43639594439218143
L'Homme Idéal Parfum Guerlain (male) ~ 2024,https://www.fragrantica.com/perfume/Guerlain/L-Homme-Ideal-Parfum-90803.html,2582,2696,2024,2,5278,-114,0.6199855873168387,0.4892004547176961,3.0,785.0,0.3247338760175329
Oud Maracujá Maison Crivelli (unisex) ~ 2023,https://www.fragrantica.com/perfume/Maison-Crivelli/Oud-Maracuja-83842.html,2382,2696,2023,3,5078,-314,0.5719433101128993,0.4690823158723907,4.0,784.0,0.3073859987154785
Valentino Uomo Born In Roma Intense Valentino (male) ~ 2023,https://www.fragrantica.com/perfume/Valentino/Valentino-Uomo-Born-In-Roma-Intense-78740.html,2385,2696,2023,4,5081,-311,0.5726639442709583,0.46939578823066325,5.0,783.0,0.3076527991782229
Acqua di Giò Parfum Giorgio Armani (male) ~ 2023,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Parfum-81508.html,2383,2696,2023,5,5079,-313,0.572183521498919,0.46918684780468595,6.0,782.0,0.3074749550475212
Bottled Absolu Hugo Boss (male) ~ 2024,https://www.fragrantica.com/perfume/Hugo-Boss/Bottled-Absolu-96246.html,1984,2696,2024,6,4680,-712,0.47633917847705975,0.4239316239316239,7.0,781.0,0.2700690402057669
Pacific Chill Louis Vuitton (unisex) ~ 2023,https://www.fragrantica.com/perfume/Louis-Vuitton/Pacific-Chill-81423.html,1906,2696,2023,7,4602,-790,0.4576026903675234,0.414167753150804,8.0,780.0,0.26227938158434805
MYSLF Eau de Parfum Yves Saint Laurent (male) ~ 2023,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/MYSLF-Eau-de-Parfum-84094.html,2062,2696,2023,8,4758,-634,0.4950756665865962,0.4333753678015973,9.0,779.0,0.27769591426657736
Boss Bottled Elixir Hugo Boss (male) ~ 2023,https://www.fragrantica.com/perfume/Hugo-Boss/Boss-Bottled-Elixir-84074.html,1639,2696,2023,9,4335,-1057,0.39346625030026416,0.3780853517877739,10.0,778.0,0.23430843510366373
Khamrah Qahwa Lattafa Perfumes (unisex) ~ 2023,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Khamrah-Qahwa-88175.html,1846,2696,2023,10,4542,-850,0.4431900072063415,0.40642888595332455,11.0,777.0,0.25617326527796935
Tobacco Honey Guerlain (unisex) ~ 2023,https://www.fragrantica.com/perfume/Guerlain/Tobacco-Honey-84518.html,1375,2696,2023,11,4071,-1321,0.33005044439106407,0.3377548513878654,12.0,776.0,0.20448509884921806
Absolu Aventus Creed (male) ~ 2023,https://www.fragrantica.com/perfume/Creed/Absolu-Aventus-84112.html,1464,2696,2023,12,4160,-1232,0.35142925774681716,0.35192307692307695,13.0,775.0,0.21479539828163682
Armani Code Eau de Parfum (2024) Giorgio Armani (male) ~ 2024,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Eau-de-Parfum-2024-96540.html,1358,2696,2024,13,4054,-1338,0.3259668508287292,0.33497779970399605,14.0,774.0,0.20248483952078095
Le Beau Paradise Garden Jean Paul Gaultier (male) ~ 2024,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Beau-Paradise-Garden-88836.html,1734,2696,2024,14,4430,-962,0.41628633197213544,0.39142212189616254,15.0,773.0,0.24450049040212973
Invictus Victory Elixir Rabanne (male) ~ 2023,https://www.fragrantica.com/perfume/Rabanne/Invictus-Victory-Elixir-78575.html,1290,2696,2023,15,3986,-1406,0.3096324765793898,0.32363271450075265,16.0,772.0,0.1943821903481249
Guilty Elixir de Parfum pour Homme Gucci (male) ~ 2023,https://www.fragrantica.com/perfume/Gucci/Guilty-Elixir-de-Parfum-pour-Homme-84547.html,1348,2696,2023,16,4044,-1348,0.3235647369685323,0.3333333333333333,17.0,771.0,0.20130351059102355
Habit Rouge Parfum Guerlain (male) ~ 2024,https://www.fragrantica.com/perfume/Guerlain/Habit-Rouge-Parfum-90802.html,1169,2696,2024,17,3865,-1527,0.28056689887100644,0.30245795601552394,18.0,770.0,0.17954960438222764
Scandal Pour Homme Absolu Jean Paul Gaultier (male) ~ 2024,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Scandal-Pour-Homme-Absolu-91053.html,1188,2696,2024,18,3884,-1508,0.2851309152053807,0.305870236869207,19.0,769.0,0.1819147322105902
Eau d'Ombré Leather Tom Ford (male) ~ 2024,https://www.fragrantica.com/perfume/Tom-Ford/Eau-d-Ombre-Leather-95389.html,1204,2696,2024,19,3900,-1492,0.28897429738169583,0.3087179487179487,20.0,768.0,0.18389586801876798
MYSLF Le Parfum Yves Saint Laurent (male) ~ 2024,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/MYSLF-Le-Parfum-94983.html,1215,2696,2024,20,3911,-1481,0.29161662262791255,0.31066223472257737,21.0,767.0,0.18525234209731037
Gentleman Society Eau de Parfum Extrême Givenchy (male) ~ 2024,https://www.fragrantica.com/perfume/Givenchy/Gentleman-Society-Eau-de-Parfum-Extreme-89933.html,1031,2696,2024,21,3727,-1665,0.24741772760028824,0.2766299973168768,22.0,766.0,0.16195212931302455
Amore Caffè Mancera (unisex) ~ 2023,https://www.fragrantica.com/perfume/Mancera/Amore-Caffe-87409.html,914,2696,2023,22,3610,-1782,0.21931299543598365,0.253185595567867,23.0,765.0,0.14643026753205635
Liquid Brun French Avenue (male) ~ 2024,https://www.fragrantica.com/perfume/French-Avenue/Liquid-Brun-94713.html,899,2696,2024,23,3595,-1797,0.21570982464568816,0.25006954102920725,24.0,764.0,0.14439860361789908
Smoking Hot By Kilian (unisex) ~ 2023,https://www.fragrantica.com/perfume/By-Kilian/Smoking-Hot-84413.html,871,2696,2023,24,3567,-1825,0.20898390583713666,0.24418278665545276,25.0,763.0,0.1405801721389863
Jubilation 40 Man Amouage (male) ~ 2023,https://www.fragrantica.com/perfume/Amouage/Jubilation-40-Man-87958.html,811,2696,2023,25,3507,-1885,0.19457122267595478,0.23125178214998574,26.0,762.0,0.13228194399742516
Narcotic Delight Initio Parfums Prives (unisex) ~ 2024,https://www.fragrantica.com/perfume/Initio-Parfums-Prives/Narcotic-Delight-89368.html,736,2696,2024,26,3432,-1960,0.17655536872447752,0.21445221445221446,27.0,761.0,0.12168105554650595
