name,link,upvotes,downvotes,year,order,total_votes,vote_diff,vote_diff_normalized,ratio,updated_order,inverse_order,bayes
Tobacco Vanille Tom Ford (unisex) ~ 2007,https://www.fragrantica.com/perfume/Tom-Ford/Tobacco-Vanille-1825.html,726,397,2007,1,1123,329,1.0,0.6464826357969724,1.0,545.0,0.6402439024390244
Hypnotic Poison Dior (female) ~ 1998,https://www.fragrantica.com/perfume/Dior/Hypnotic-Poison-219.html,602,342,1998,2,944,260,0.8140161725067385,0.6377118644067796,2.0,544.0,0.630546955624355
Ani Nishane (unisex) ~ 2019,https://www.fragrantica.com/perfume/Nishane/Ani-54785.html,440,170,2019,3,610,270,0.8409703504043127,0.7213114754098361,3.0,543.0,0.7070866141732284
Spiritueuse Double Vanille Guerlain (female) ~ 2007,https://www.fragrantica.com/perfume/Guerlain/Spiritueuse-Double-Vanille-3345.html,418,130,2007,4,548,288,0.889487870619946,0.7627737226277372,4.0,542.0,0.7452006980802792
Shalimar Eau de Parfum Guerlain (female) ~ 1990,https://www.fragrantica.com/perfume/Guerlain/Shalimar-Eau-de-Parfum-53.html,461,276,1990,5,737,185,0.6118598382749326,0.6255088195386703,5.0,541.0,0.6167979002624672
Dior Addict Eau de Parfum (2014) Dior (female) ~ 2014,https://www.fragrantica.com/perfume/Dior/Dior-Addict-Eau-de-Parfum-2014-28201.html,420,205,2014,6,625,215,0.692722371967655,0.672,6.0,540.0,0.66
Lira Xerjoff (female) ~ 2011,https://www.fragrantica.com/perfume/Xerjoff/Lira-11801.html,354,127,2011,7,481,227,0.7250673854447439,0.735966735966736,7.0,539.0,0.717391304347826
Grand Soir Maison Francis Kurkdjian (unisex) ~ 2016,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Grand-Soir-40816.html,343,160,2016,8,503,183,0.6064690026954178,0.6819085487077535,8.0,538.0,0.6666666666666666
Mon Guerlain Guerlain (female) ~ 2017,https://www.fragrantica.com/perfume/Guerlain/Mon-Guerlain-43297.html,334,172,2017,9,506,162,0.5498652291105122,0.6600790513833992,9.0,537.0,0.6459510357815442
Mon Guerlain Eau de Parfum Intense Guerlain (female) ~ 2019,https://www.fragrantica.com/perfume/Guerlain/Mon-Guerlain-Eau-de-Parfum-Intense-55997.html,301,186,2019,10,487,115,0.4231805929919138,0.6180698151950719,10.0,536.0,0.60546875
Noir Extreme Tom Ford (male) ~ 2015,https://www.fragrantica.com/perfume/Tom-Ford/Noir-Extreme-29675.html,259,119,2015,11,378,140,0.49056603773584906,0.6851851851851852,11.0,535.0,0.6650124069478908
Fève Délicieuse (2018) Dior (unisex) ~ 2018,https://www.fragrantica.com/perfume/Dior/Feve-Delicieuse-2018-48392.html,260,128,2018,12,388,132,0.4690026954177898,0.6701030927835051,12.0,534.0,0.6513317191283293
