name,link,upvotes,downvotes,year,order
Lost Cherry Tom Ford (unisex) ~ 2018,https://www.fragrantica.com/perfume/Tom-Ford/Lost-Cherry-51411.html,994,434,2018,1
L’Homme Ideal Eau de Parfum Guerlain (male) ~ 2016,https://www.fragrantica.com/perfume/Guerlain/L-Homme-Ideal-Eau-de-Parfum-37735.html,637,181,2016,2
La Petite Robe Noire Guerlain (female) ~ 2012,https://www.fragrantica.com/perfume/Guerlain/La-Petite-Robe-Noire-14681.html,439,273,2012,3
Rouge Smoking BDK Parfums (unisex) ~ 2018,https://www.fragrantica.com/perfume/BDK-Parfums/Rouge-Smoking-51468.html,405,241,2018,4
Lovefest Burning Cherry | 48 Eau de Parfum Kayali Fragrances (unisex) ~ 2022,https://www.fragrantica.com/perfume/Kayali-Fragrances/Lovefest-Burning-Cherry-48-Eau-de-Parfum-75661.html,380,248,2022,5
Black Perfecto by La Petite Robe Noire Guerlain (female) ~ 2017,https://www.fragrantica.com/perfume/Guerlain/Black-Perfecto-by-La-Petite-Robe-Noire-45017.html,298,187,2017,6
Cherry Punk Room 1015 (unisex) ~ 2020,https://www.fragrantica.com/perfume/Room-1015/Cherry-Punk-61264.html,225,170,2020,7
L'Interdit Eau de Parfum Rouge Givenchy (female) ~ 2021,https://www.fragrantica.com/perfume/Givenchy/L-Interdit-Eau-de-Parfum-Rouge-68404.html,248,248,2021,8
L'Homme Idéal Extrême Guerlain (male) ~ 2020,https://www.fragrantica.com/perfume/Guerlain/L-Homme-Ideal-Extreme-60284.html,140,76,2020,9
Wet Cherry Liquor Bohoboco (unisex) ~ 2022,https://www.fragrantica.com/perfume/Bohoboco/Wet-Cherry-Liquor-74151.html,146,116,2022,10
Herod Parfums de Marly (male) ~ 2012,https://www.fragrantica.com/perfume/Parfums-de-Marly/Herod-16939.html,141,107,2012,11
Cherry Smoothie Zara (female) ~ 2022,https://www.fragrantica.com/perfume/Zara/Cherry-Smoothie-72492.html,183,204,2022,12
Lolita Lempicka Lolita Lempicka (female) ~ 1997,https://www.fragrantica.com/perfume/Lolita-Lempicka/Lolita-Lempicka-456.html,128,105,1997,13
Cherry Oud Guerlain (unisex) ~ 2022,https://www.fragrantica.com/perfume/Guerlain/Cherry-Oud-76302.html,134,130,2022,14
La Nuit Trésor Intense Lancôme (female) ~ 2022,https://www.fragrantica.com/perfume/Lancome/La-Nuit-Tresor-Intense-71512.html,140,161,2022,15
La Petite Robe Noire Eau de Parfum Intense Guerlain (female) ~ 2022,https://www.fragrantica.com/perfume/Guerlain/La-Petite-Robe-Noire-Eau-de-Parfum-Intense-75800.html,132,148,2022,16
Scandal By Night Jean Paul Gaultier (female) ~ 2018,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Scandal-By-Night-50715.html,130,150,2018,17
A*Men Pure Havane Mugler (male) ~ 2011,https://www.fragrantica.com/perfume/Mugler/A-Men-Pure-Havane-11444.html,123,144,2011,18
La Petite Robe Noire Eau de Toilette Guerlain (female) ~ 2012,https://www.fragrantica.com/perfume/Guerlain/La-Petite-Robe-Noire-Eau-de-Toilette-17387.html,130,159,2012,19
Cherry in the Air Escada (female) ~ 2013,https://www.fragrantica.com/perfume/Escada/Cherry-in-the-Air-17129.html,110,119,2013,20
Angels' Share By Kilian (unisex) ~ 2020,https://www.fragrantica.com/perfume/By-Kilian/Angels-Share-62615.html,121,142,2020,21
Bodacious Boadicea the Victorious (unisex) ~ 2021,https://www.fragrantica.com/perfume/Boadicea-the-Victorious/Bodacious-70658.html,87,97,2021,22
Lolita Lempicka Le Parfum 2021 Lolita Lempicka (female) ~ 2021,https://www.fragrantica.com/perfume/Lolita-Lempicka/Lolita-Lempicka-Le-Parfum-2021-69011.html,108,141,2021,23
Dark Cherry & Amber Banana Republic (unisex) ~ 2019,https://www.fragrantica.com/perfume/Banana-Republic/Dark-Cherry-Amber-59392.html,72,79,2019,24
Prada Candy Gloss Prada (female) ~ 2017,https://www.fragrantica.com/perfume/Prada/Prada-Candy-Gloss-44534.html,103,141,2017,25
Musc Noir Rose For Her Narciso Rodriguez (female) ~ 2022,https://www.fragrantica.com/perfume/Narciso-Rodriguez/Musc-Noir-Rose-For-Her-71596.html,118,172,2022,26
Venom of Love Navitus Parfums (unisex) ~ 2022,https://www.fragrantica.com/perfume/Navitus-Parfums/Venom-of-Love-76980.html,67,73,2022,27
Raw Cherry Aaron Terence Hughes (unisex) ~ 2022,https://www.fragrantica.com/perfume/Aaron-Terence-Hughes/Raw-Cherry-72720.html,75,91,2022,28
Sweet Lolita Lempicka (female) ~ 2014,https://www.fragrantica.com/perfume/Lolita-Lempicka/Sweet-28177.html,71,83,2014,29
Very Good Girl Glam Carolina Herrera (female) ~ 2022,https://www.fragrantica.com/perfume/Carolina-Herrera/Very-Good-Girl-Glam-72698.html,62,67,2022,30
Black Perfecto by La Petite Robe Noire Eau de Toilette Florale Guerlain (female) ~ 2018,https://www.fragrantica.com/perfume/Guerlain/Black-Perfecto-by-La-Petite-Robe-Noire-Eau-de-Toilette-Florale-50158.html,67,81,2018,31
Miss Dior Cherie Dior (female) ~ 2005,https://www.fragrantica.com/perfume/Dior/Miss-Dior-Cherie-213.html,86,121,2005,32
Khaltat Night Attar Collection (unisex) ~ 2016,https://www.fragrantica.com/perfume/Attar-Collection/Khaltat-Night-38133.html,68,86,2016,33
Cherry Ink Lorenzo Pazzaglia (unisex) ~ 2022,https://www.fragrantica.com/perfume/Lorenzo-Pazzaglia/Cherry-Ink-78278.html,28,6,2022,34
Duchessa Gritti (unisex) ~ 2020,https://www.fragrantica.com/perfume/Gritti/Duchessa-63729.html,54,59,2020,35
Tonka Cola Mancera (unisex) ~ 2022,https://www.fragrantica.com/perfume/Mancera/Tonka-Cola-76893.html,52,55,2022,36
Fève Délicieuse (2018) Dior (unisex) ~ 2018,https://www.fragrantica.com/perfume/Dior/Feve-Delicieuse-2018-48392.html,52,56,2018,37
Seductive Red Guess (female) ~ 2021,https://www.fragrantica.com/perfume/Guess/Seductive-Red-69869.html,54,61,2021,38
Rose Chérie Guerlain (female) ~ 2021,https://www.fragrantica.com/perfume/Guerlain/Rose-Cherie-69054.html,46,45,2021,39
Spicebomb Infrared Viktor&Rolf (male) ~ 2021,https://www.fragrantica.com/perfume/Viktor-Rolf/Spicebomb-Infrared-66514.html,66,86,2021,40
La Petite Robe Noire Intense Guerlain (female) ~ 2016,https://www.fragrantica.com/perfume/Guerlain/La-Petite-Robe-Noire-Intense-39157.html,55,64,2016,41
Delices Cartier (female) ~ 2006,https://www.fragrantica.com/perfume/Cartier/Delices-308.html,75,105,2006,42
Live Irrésistible Délicieuse Givenchy (female) ~ 2017,https://www.fragrantica.com/perfume/Givenchy/Live-Irresistible-Delicieuse-43336.html,57,69,2017,43
Fleurs De Cerisier L'Occitane en Provence (female) ~ 2007,https://www.fragrantica.com/perfume/L-Occitane-en-Provence/Fleurs-De-Cerisier-2023.html,52,61,2007,44
I Want Choo Forever Jimmy Choo (female) ~ 2022,https://www.fragrantica.com/perfume/Jimmy-Choo/I-Want-Choo-Forever-75969.html,50,57,2022,45
Wild Cherry Mancera (unisex) ~ 2016,https://www.fragrantica.com/perfume/Mancera/Wild-Cherry-35226.html,41,39,2016,46
Invite Only Amber | 23 Kayali Fragrances (unisex) ~ 2021,https://www.fragrantica.com/perfume/Kayali-Fragrances/Invite-Only-Amber-23-68958.html,60,78,2021,47
Red Tobacco Mancera (unisex) ~ 2017,https://www.fragrantica.com/perfume/Mancera/Red-Tobacco-46663.html,59,77,2017,48
Acqua di Giò Profumo Giorgio Armani (male) ~ 2015,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Profumo-29727.html,62,83,2015,49
La Petite Robe Noire Rose Rose Rose Guerlain (female) ~ 2022,https://www.fragrantica.com/perfume/Guerlain/La-Petite-Robe-Noire-Rose-Rose-Rose-70977.html,54,67,2022,50
La Petite Robe Noire Couture Guerlain (female) ~ 2014,https://www.fragrantica.com/perfume/Guerlain/La-Petite-Robe-Noire-Couture-22828.html,42,44,2014,51
Midnight Fantasy Britney Spears (female) ~ 2006,https://www.fragrantica.com/perfume/Britney-Spears/Midnight-Fantasy-802.html,63,87,2006,52
Rouge Trafalgar Dior (female) ~ 2020,https://www.fragrantica.com/perfume/Dior/Rouge-Trafalgar-58665.html,34,29,2020,53
Cherry Fever Lunio (unisex) ~ 2022,https://www.fragrantica.com/perfume/Lunio/Cherry-Fever-77657.html,75,112,2022,54
Wrap Me in Dreams Haute Fragrance Company HFC (female) ~ 2020,https://www.fragrantica.com/perfume/Haute-Fragrance-Company-HFC/Wrap-Me-in-Dreams-62855.html,43,49,2020,55
Café Chantant Nobile 1942 (unisex) ~ 2013,https://www.fragrantica.com/perfume/Nobile-1942/Cafe-Chantant-18073.html,42,48,2013,56
Una Tira l Altra Hilde Soliani (unisex) ~ 2014,https://www.fragrantica.com/perfume/Hilde-Soliani/Una-Tira-l-Altra-26600.html,40,44,2014,57
L'Homme Idéal L'Intense Guerlain (male) ~ 2018,https://www.fragrantica.com/perfume/Guerlain/L-Homme-Ideal-L-Intense-49416.html,32,30,2018,58
Intense Cherry Montale (unisex) ~ 2017,https://www.fragrantica.com/perfume/Montale/Intense-Cherry-43319.html,36,39,2017,59
Modern Muse Le Rouge Gloss Estée Lauder (female) ~ 2016,https://www.fragrantica.com/perfume/Estee-Lauder/Modern-Muse-Le-Rouge-Gloss-38990.html,52,72,2016,60
