name,link,upvotes,downvotes,year,order
Tobacco Vanille Tom Ford (unisex) ~ 2007,https://www.fragrantica.com/perfume/Tom-Ford/Tobacco-Vanille-1825.html,726,397,2007,1
Hypnotic Poison Dior (female) ~ 1998,https://www.fragrantica.com/perfume/Dior/Hypnotic-Poison-219.html,602,342,1998,2
Ani Nishane (unisex) ~ 2019,https://www.fragrantica.com/perfume/Nishane/Ani-54785.html,440,170,2019,3
Spiritueuse Double Vanille Guerlain (unisex) ~ 2007,https://www.fragrantica.com/perfume/Guerlain/Spiritueuse-Double-Vanille-3345.html,418,130,2007,4
Shalimar Eau de Parfum Guerlain (female) ~ 1990,https://www.fragrantica.com/perfume/Guerlain/Shalimar-Eau-de-Parfum-53.html,461,276,1990,5
Dior Addict Eau de Parfum (2014) Dior (female) ~ 2014,https://www.fragrantica.com/perfume/Dior/Dior-Addict-Eau-de-Parfum-2014-28201.html,420,205,2014,6
Lira Xerjoff (female) ~ 2011,https://www.fragrantica.com/perfume/Xerjoff/Lira-11801.html,354,127,2011,7
Grand Soir Maison Francis Kurkdjian (unisex) ~ 2016,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Grand-Soir-40816.html,343,160,2016,8
Mon Guerlain Guerlain (female) ~ 2017,https://www.fragrantica.com/perfume/Guerlain/Mon-Guerlain-43297.html,334,172,2017,9
Mon Guerlain Eau de Parfum Intense Guerlain (female) ~ 2019,https://www.fragrantica.com/perfume/Guerlain/Mon-Guerlain-Eau-de-Parfum-Intense-55997.html,301,186,2019,10
Noir Extreme Tom Ford (male) ~ 2015,https://www.fragrantica.com/perfume/Tom-Ford/Noir-Extreme-29675.html,259,119,2015,11
Fève Délicieuse (2018) Dior (unisex) ~ 2018,https://www.fragrantica.com/perfume/Dior/Feve-Delicieuse-2018-48392.html,260,128,2018,12
Angélique Noire Guerlain (unisex) ~ 2005,https://www.fragrantica.com/perfume/Guerlain/Angelique-Noire-1021.html,239,89,2005,13
By the Fireplace Maison Martin Margiela (unisex) ~ 2015,https://www.fragrantica.com/perfume/Maison-Martin-Margiela/By-the-Fireplace-31623.html,257,143,2015,14
Spicebomb Extreme Viktor&Rolf (male) ~ 2015,https://www.fragrantica.com/perfume/Viktor-Rolf/Spicebomb-Extreme-30499.html,251,138,2015,15
