name,link,upvotes,downvotes,year,order
Un Jardin Sur Le Nil Hermès (unisex) ~ 2005,https://www.fragrantica.com/perfume/Hermes/Un-Jardin-Sur-Le-Nil-18.html,290,87,2005,1
Light Blue Dolce&Gabbana (female) ~ 2001,https://www.fragrantica.com/perfume/Dolce-Gabbana/Light-Blue-485.html,301,143,2001,2
Mugler Cologne Mugler (unisex) ~ 2001,https://www.fragrantica.com/perfume/Mugler/Mugler-Cologne-708.html,214,77,2001,3
Neroli Portofino Tom Ford (unisex) ~ 2011,https://www.fragrantica.com/perfume/Tom-Ford/Neroli-Portofino-12192.html,191,89,2011,4
Aqua Allegoria Herba Fresca Guerlain (unisex) ~ 1999,https://www.fragrantica.com/perfume/Guerlain/Aqua-Allegoria-Herba-Fresca-60.html,162,41,1999,5
Un Jardin en Méditerranée Hermès (unisex) ~ 2003,https://www.fragrantica.com/perfume/Hermes/Un-Jardin-en-Mediterranee-19.html,156,45,2003,6
Chance Eau Fraiche Chanel (female) ~ 2007,https://www.fragrantica.com/perfume/Chanel/Chance-Eau-Fraiche-1483.html,172,81,2007,7
Dior Homme Cologne 2013 Dior (male) ~ 2013,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Cologne-2013-17256.html,142,36,2013,8
Versace Man Eau Fraiche Versace (male) ~ 2006,https://www.fragrantica.com/perfume/Versace/Versace-Man-Eau-Fraiche-644.html,149,58,2006,9
Green Tea Elizabeth Arden (female) ~ 1999,https://www.fragrantica.com/perfume/Elizabeth-Arden/Green-Tea-83.html,152,71,1999,10
4711 Original Eau de Cologne 4711 (unisex),https://www.fragrantica.com/perfume/4711/4711-Original-Eau-de-Cologne-3256.html,142,56,0,11
Acqua di Gio Giorgio Armani (male) ~ 1996,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-410.html,139,62,1996,12
Versense Versace (female) ~ 2009,https://www.fragrantica.com/perfume/Versace/Versense-5752.html,109,37,2009,13
L'Eau d'Issey Pour Homme Issey Miyake (male) ~ 1994,https://www.fragrantica.com/perfume/Issey-Miyake/L-Eau-d-Issey-Pour-Homme-721.html,118,61,1994,14
Virgin Island Water Creed (unisex) ~ 2007,https://www.fragrantica.com/perfume/Creed/Virgin-Island-Water-899.html,103,37,2007,15
Eau Parfumee au The Vert Bvlgari (unisex) ~ 1992,https://www.fragrantica.com/perfume/Bvlgari/Eau-Parfumee-au-The-Vert-144.html,94,21,1992,16
Bronze Goddess Eau Fraiche Skinscent 2014 Estée Lauder (female) ~ 2014,https://www.fragrantica.com/perfume/Estee-Lauder/Bronze-Goddess-Eau-Fraiche-Skinscent-2014-25142.html,99,40,2014,17
Aqua Allegoria Mandarine Basilic Guerlain (female) ~ 2007,https://www.fragrantica.com/perfume/Guerlain/Aqua-Allegoria-Mandarine-Basilic-2060.html,89,24,2007,18
Le Jardin de Monsieur Li Hermès (unisex) ~ 2015,https://www.fragrantica.com/perfume/Hermes/Le-Jardin-de-Monsieur-Li-29818.html,89,32,2015,19
Chanel N°19 Chanel (female) ~ 1970,https://www.fragrantica.com/perfume/Chanel/Chanel-N019-11.html,97,49,1970,20
Eau Sauvage Dior (male) ~ 1966,https://www.fragrantica.com/perfume/Dior/Eau-Sauvage-231.html,77,17,1966,21
Cheap & Chic I Love Love Moschino (female) ~ 2004,https://www.fragrantica.com/perfume/Moschino/Cheap-Chic-I-Love-Love-728.html,85,34,2004,22
Acqua di Gioia Giorgio Armani (female) ~ 2010,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gioia-8442.html,91,52,2010,23
Cool Water Davidoff (female) ~ 1996,https://www.fragrantica.com/perfume/Davidoff/Cool-Water-508.html,87,50,1996,24
Aqva Amara Bvlgari (male) ~ 2014,https://www.fragrantica.com/perfume/Bvlgari/Aqva-Amara-22675.html,78,35,2014,25
Ô de Lancôme Lancôme (female) ~ 1969,https://www.fragrantica.com/perfume/Lancome/O-de-Lancome-187.html,68,19,1969,26
Chanel No 5 L'Eau Chanel (female) ~ 2016,https://www.fragrantica.com/perfume/Chanel/Chanel-No-5-L-Eau-38543.html,93,70,2016,27
Aqua Allegoria Pamplelune Guerlain (female) ~ 1999,https://www.fragrantica.com/perfume/Guerlain/Aqua-Allegoria-Pamplelune-57.html,65,14,1999,28
Cristalle Eau Verte Chanel (female) ~ 2009,https://www.fragrantica.com/perfume/Chanel/Cristalle-Eau-Verte-5909.html,61,13,2009,29
Eau des Merveilles Hermès (female) ~ 2004,https://www.fragrantica.com/perfume/Hermes/Eau-des-Merveilles-9.html,73,39,2004,30
Terre d'Hermès Hermès (male) ~ 2006,https://www.fragrantica.com/perfume/Hermes/Terre-d-Hermes-17.html,86,65,2006,31
Mandarino di Amalfi Tom Ford (unisex) ~ 2014,https://www.fragrantica.com/perfume/Tom-Ford/Mandarino-di-Amalfi-25481.html,67,32,2014,32
Omnia Crystalline Bvlgari (female) ~ 2005,https://www.fragrantica.com/perfume/Bvlgari/Omnia-Crystalline-152.html,75,49,2005,33
CK One Calvin Klein (unisex) ~ 1994,https://www.fragrantica.com/perfume/Calvin-Klein/CK-One-276.html,63,25,1994,34
Eau de Rhubarbe Ecarlate Hermès (unisex) ~ 2016,https://www.fragrantica.com/perfume/Hermes/Eau-de-Rhubarbe-Ecarlate-35375.html,64,30,2016,35
Allure Homme Sport Chanel (male) ~ 2004,https://www.fragrantica.com/perfume/Chanel/Allure-Homme-Sport-607.html,65,34,2004,36
D&G Anthology L'Imperatrice 3 Dolce&Gabbana (female) ~ 2009,https://www.fragrantica.com/perfume/Dolce-Gabbana/D-G-Anthology-L-Imperatrice-3-6086.html,69,42,2009,37
Chance Eau Tendre Chanel (female) ~ 2010,https://www.fragrantica.com/perfume/Chanel/Chance-Eau-Tendre-8069.html,62,30,2010,38
Philosykos Eau de Parfum Diptyque (unisex) ~ 1996,https://www.fragrantica.com/perfume/Diptyque/Philosykos-Eau-de-Parfum-3865.html,54,16,1996,39
Un Jardin Apres la Mousson Hermès (unisex) ~ 2008,https://www.fragrantica.com/perfume/Hermes/Un-Jardin-Apres-la-Mousson-2736.html,52,14,2008,40
Alien Eau Extraordinaire Mugler (female) ~ 2014,https://www.fragrantica.com/perfume/Mugler/Alien-Eau-Extraordinaire-23333.html,68,47,2014,41
Grey Vetiver Tom Ford (male) ~ 2009,https://www.fragrantica.com/perfume/Tom-Ford/Grey-Vetiver-6697.html,56,27,2009,42
Aqva Pour Homme Bvlgari (male) ~ 2005,https://www.fragrantica.com/perfume/Bvlgari/Aqva-Pour-Homme-153.html,52,19,2005,43
L'eau d'Issey Issey Miyake (female) ~ 1992,https://www.fragrantica.com/perfume/Issey-Miyake/L-eau-d-Issey-720.html,53,21,1992,44
Eau de Rochas Rochas (female) ~ 1970,https://www.fragrantica.com/perfume/Rochas/Eau-de-Rochas-2361.html,48,14,1970,45
Allure Homme Edition Blanche Eau de Parfum Chanel (male) ~ 2014,https://www.fragrantica.com/perfume/Chanel/Allure-Homme-Edition-Blanche-Eau-de-Parfum-28942.html,54,27,2014,46
Eau Parfumee au The Blanc Bvlgari (unisex) ~ 2003,https://www.fragrantica.com/perfume/Bvlgari/Eau-Parfumee-au-The-Blanc-145.html,46,19,2003,47
Eclat d’Arpège Lanvin (female) ~ 2002,https://www.fragrantica.com/perfume/Lanvin/Eclat-d-Arpege-988.html,57,43,2002,48
Eau d'Orange Verte Hermès (unisex) ~ 2009,https://www.fragrantica.com/perfume/Hermes/Eau-d-Orange-Verte-6065.html,42,16,2009,49
Cool Water Davidoff (male) ~ 1988,https://www.fragrantica.com/perfume/Davidoff/Cool-Water-507.html,48,29,1988,50
Orange Sanguine Atelier Cologne (unisex) ~ 2011,https://www.fragrantica.com/perfume/Atelier-Cologne/Orange-Sanguine-9420.html,38,14,2011,51
Light Blue Eau Intense Dolce&Gabbana (female) ~ 2017,https://www.fragrantica.com/perfume/Dolce-Gabbana/Light-Blue-Eau-Intense-44034.html,53,45,2017,52
Terracotta Le Parfum Guerlain (female) ~ 2014,https://www.fragrantica.com/perfume/Guerlain/Terracotta-Le-Parfum-24785.html,41,22,2014,53
Eau d'Hadrien Goutal (unisex) ~ 1980,https://www.fragrantica.com/perfume/Goutal/Eau-d-Hadrien-756.html,37,16,1980,54
Interdit Absente Daniel Josier (unisex),https://www.fragrantica.com/perfume/Daniel-Josier/Interdit-Absente-29792.html,30,4,0,55
Clinique Happy Clinique (female) ~ 1998,https://www.fragrantica.com/perfume/Clinique/Clinique-Happy-372.html,52,49,1998,56
Silver Mountain Water Creed (unisex) ~ 1995,https://www.fragrantica.com/perfume/Creed/Silver-Mountain-Water-472.html,43,31,1995,57
Terre d'Hermes Eau Tres Fraiche Hermès (male) ~ 2014,https://www.fragrantica.com/perfume/Hermes/Terre-d-Hermes-Eau-Tres-Fraiche-24060.html,45,35,2014,58
Chrome Azzaro (male) ~ 1996,https://www.fragrantica.com/perfume/Azzaro/Chrome-788.html,39,25,1996,59
Tommy Girl Tommy Hilfiger (female) ~ 1996,https://www.fragrantica.com/perfume/Tommy-Hilfiger/Tommy-Girl-3016.html,42,34,1996,60
Eau de Campagne Sisley (unisex) ~ 1976,https://www.fragrantica.com/perfume/Sisley/Eau-de-Campagne-1003.html,31,12,1976,61
Versace Pour Homme Versace (male) ~ 2008,https://www.fragrantica.com/perfume/Versace/Versace-Pour-Homme-2318.html,31,13,2008,62
Acqua di Parma Blu Mediterraneo Arancia di Capri Acqua di Parma (unisex) ~ 1999,https://www.fragrantica.com/perfume/Acqua-di-Parma/Acqua-di-Parma-Blu-Mediterraneo-Arancia-di-Capri-1685.html,27,6,1999,63
Jour d'Hermes Hermès (female) ~ 2013,https://www.fragrantica.com/perfume/Hermes/Jour-d-Hermes-17076.html,35,23,2013,64
Un Jardin Sur Le Toit Hermès (unisex) ~ 2011,https://www.fragrantica.com/perfume/Hermes/Un-Jardin-Sur-Le-Toit-11502.html,27,7,2011,65
Cruise Collection - Escale a Portofino Dior (female) ~ 2008,https://www.fragrantica.com/perfume/Dior/Cruise-Collection-Escale-a-Portofino-3291.html,26,6,2008,66
Aqua Universalis Maison Francis Kurkdjian (unisex) ~ 2009,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Aqua-Universalis-6804.html,28,11,2009,67
Fleur de Portofino Tom Ford (unisex) ~ 2015,https://www.fragrantica.com/perfume/Tom-Ford/Fleur-de-Portofino-30677.html,40,36,2015,68
Sun di Gioia Giorgio Armani (female) ~ 2016,https://www.fragrantica.com/perfume/Giorgio-Armani/Sun-di-Gioia-36600.html,35,28,2016,69
Parfum d'Ete 2002 Kenzo (female) ~ 2002,https://www.fragrantica.com/perfume/Kenzo/Parfum-d-Ete-2002-80.html,24,6,2002,70
Eau de Cartier Cartier (unisex) ~ 2001,https://www.fragrantica.com/perfume/Cartier/Eau-de-Cartier-309.html,31,22,2001,71
L'Homme Yves Saint Laurent (male) ~ 2006,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/L-Homme-734.html,31,22,2006,72
Aqua Allegoria Limon Verde Guerlain (unisex) ~ 2014,https://www.fragrantica.com/perfume/Guerlain/Aqua-Allegoria-Limon-Verde-23369.html,25,10,2014,73
Molecule 01 Escentric Molecules (unisex) ~ 2006,https://www.fragrantica.com/perfume/Escentric-Molecules/Molecule-01-845.html,37,35,2006,74
Soleil Blanc Tom Ford (unisex) ~ 2016,https://www.fragrantica.com/perfume/Tom-Ford/Soleil-Blanc-34893.html,29,19,2016,75
