fragrance_1,fragrance_2,type_similarity,occasion_similarity,season_similarity,audience_similarity,total_similarity
1 Million Paco Rabanne 2008 EAU DE TOILETTE,1 Million Elixir Paco Rabanne 2022,0.898,0.998,0.99,0.999,0.848
212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,1 Million Elixir Paco Rabanne 2022,0.765,0.982,0.938,0.972,0.544
212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.839,0.99,0.94,0.974,0.672
Acqua di Giò Parfum Giorgio Armani 2023,1 Million Elixir Paco Rabanne 2022,0.131,0.649,0.683,0.908,-0.548
Acqua di Giò Parfum Giorgio Armani 2023,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.206,0.686,0.736,0.906,-0.475
Acqua di Giò Parfum Giorgio Armani 2023,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.454,0.769,0.873,0.937,-0.259
Althaïr Parfums de Marly 2023,1 Million Elixir Paco Rabanne 2022,0.698,0.992,0.97,0.932,0.536
Althaïr Parfums de Marly 2023,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.732,0.997,0.957,0.917,0.473
Althaïr Parfums de Marly 2023,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.674,0.995,0.827,0.911,0.189
Althaïr Parfums de Marly 2023,Acqua di Giò Parfum Giorgio Armani 2023,0.12,0.727,0.516,0.908,-0.459
Ambre Cashmere Intense Parfums de Nicolaï 2015,1 Million Elixir Paco Rabanne 2022,0.607,0.942,0.998,0.686,0.148
Ambre Cashmere Intense Parfums de Nicolaï 2015,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.668,0.956,0.995,0.655,0.103
Ambre Cashmere Intense Parfums de Nicolaï 2015,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.586,0.987,0.954,0.648,-0.171
Ambre Cashmere Intense Parfums de Nicolaï 2015,Acqua di Giò Parfum Giorgio Armani 2023,0.255,0.844,0.724,0.62,-0.409
Ambre Cashmere Intense Parfums de Nicolaï 2015,Althaïr Parfums de Marly 2023,0.648,0.973,0.956,0.878,0.426
Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,1 Million Elixir Paco Rabanne 2022,0.623,0.723,0.747,0.971,-0.21
Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.547,0.757,0.792,0.964,-0.443
Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.751,0.834,0.916,0.973,-0.247
Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,Acqua di Giò Parfum Giorgio Armani 2023,0.517,0.99,0.994,0.947,0.039
Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,Althaïr Parfums de Marly 2023,0.518,0.793,0.586,0.981,-0.282
Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.634,0.897,0.786,0.787,-0.038
Angels' Share Kilian 2020,1 Million Elixir Paco Rabanne 2022,0.706,0.997,0.961,0.813,0.518
Angels' Share Kilian 2020,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.815,0.993,0.949,0.789,0.564
Angels' Share Kilian 2020,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.739,0.973,0.806,0.788,0.236
Angels' Share Kilian 2020,Acqua di Giò Parfum Giorgio Armani 2023,0.162,0.618,0.492,0.781,-0.507
Angels' Share Kilian 2020,Althaïr Parfums de Marly 2023,0.947,0.986,0.999,0.962,0.883
Angels' Share Kilian 2020,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.625,0.93,0.945,0.974,0.459
Angels' Share Kilian 2020,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.515,0.692,0.563,0.901,-0.471
Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,1 Million Elixir Paco Rabanne 2022,0.207,0.582,0.567,0.965,-0.464
Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.219,0.617,0.634,0.964,-0.448
Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.449,0.701,0.79,0.988,-0.2
