name,link,upvotes,downvotes,year,order,total_votes,vote_diff,vote_diff_normalized,ratio,updated_order,inverse_order,bayes
Acqua di Giò Profumo Giorgio Armani (male) ~ 2015,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Profumo-29727.html,977,328,2015,1,1305,649,1.0,0.7486590038314176,1.0,439.0,0.7426636568848759
Acqua di Giò Profondo Giorgio Armani (male) ~ 2020,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Profondo-59532.html,811,349,2020,2,1160,462,0.7225519287833828,0.6991379310344827,2.0,438.0,0.6934121621621622
Allure Homme Sport Chanel (male) ~ 2004,https://www.fragrantica.com/perfume/Chanel/Allure-Homme-Sport-607.html,577,258,2004,3,835,319,0.510385756676558,0.6910179640718563,3.0,437.0,0.6833527357392316
Wood Sage & Sea Salt Jo Malone London (unisex) ~ 2014,https://www.fragrantica.com/perfume/Jo-Malone-London/Wood-Sage-Sea-Salt-25529.html,550,240,2014,4,790,310,0.4970326409495549,0.6962025316455697,4.0,436.0,0.687960687960688
Light Blue Eau Intense Pour Homme Dolce&Gabbana (male) ~ 2017,https://www.fragrantica.com/perfume/Dolce-Gabbana/Light-Blue-Eau-Intense-Pour-Homme-44035.html,497,202,2017,5,699,295,0.47477744807121663,0.7110157367668097,5.0,435.0,0.7012448132780082
Acqua di Gio Giorgio Armani (male) ~ 1996,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-410.html,495,230,1996,6,725,265,0.4302670623145401,0.6827586206896552,6.0,434.0,0.6742323097463284
Cool Water Davidoff (male) ~ 1988,https://www.fragrantica.com/perfume/Davidoff/Cool-Water-507.html,533,307,1988,7,840,226,0.37240356083086057,0.6345238095238095,7.0,433.0,0.6284722222222222
Versace Pour Homme Versace (male) ~ 2008,https://www.fragrantica.com/perfume/Versace/Versace-Pour-Homme-2318.html,428,157,2008,8,585,271,0.4391691394658754,0.7316239316239316,8.0,432.0,0.7192118226600985
Aqva Pour Homme Bvlgari (male) ~ 2005,https://www.fragrantica.com/perfume/Bvlgari/Aqva-Pour-Homme-153.html,396,157,2005,9,553,239,0.39169139465875374,0.7160940325497287,9.0,431.0,0.7036395147313691
40 Knots Xerjoff (unisex) ~ 2012,https://www.fragrantica.com/perfume/Xerjoff/40-Knots-16445.html,382,157,2012,10,539,225,0.370919881305638,0.7087198515769945,10.0,430.0,0.6962699822380106
Light Blue Dolce&Gabbana (female) ~ 2001,https://www.fragrantica.com/perfume/Dolce-Gabbana/Light-Blue-485.html,418,253,2001,11,671,165,0.2818991097922849,0.6229508196721312,11.0,429.0,0.6158273381294964
Megamare Orto Parisi (unisex) ~ 2019,https://www.fragrantica.com/perfume/Orto-Parisi/Megamare-53471.html,335,171,2019,12,506,164,0.28041543026706234,0.6620553359683794,12.0,428.0,0.6509433962264151
Versace Man Eau Fraiche Versace (male) ~ 2006,https://www.fragrantica.com/perfume/Versace/Versace-Man-Eau-Fraiche-644.html,309,131,2006,13,440,178,0.30118694362017806,0.7022727272727273,13.0,427.0,0.6875
Acqua di Giò Parfum Giorgio Armani (male) ~ 2023,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Parfum-81508.html,294,137,2023,14,431,157,0.27002967359050445,0.6821345707656613,14.0,426.0,0.6681318681318681
L'Eau d'Issey Pour Homme Issey Miyake (male) ~ 1994,https://www.fragrantica.com/perfume/Issey-Miyake/L-Eau-d-Issey-Pour-Homme-721.html,274,105,1994,15,379,169,0.2878338278931751,0.7229551451187335,15.0,425.0,0.7047146401985112
Kenzo Homme Eau de Parfum Kenzo (male) ~ 2022,https://www.fragrantica.com/perfume/Kenzo/Kenzo-Homme-Eau-de-Parfum-73225.html,265,109,2022,16,374,156,0.2685459940652819,0.7085561497326203,16.0,424.0,0.6909547738693468
Versace Pour Homme Dylan Blue Versace (male) ~ 2016,https://www.fragrantica.com/perfume/Versace/Versace-Pour-Homme-Dylan-Blue-40031.html,265,111,2016,17,376,154,0.2655786350148368,0.7047872340425532,17.0,423.0,0.6875
Eau des Merveilles Bleue Hermès (female) ~ 2016,https://www.fragrantica.com/perfume/Hermes/Eau-des-Merveilles-Bleue-42747.html,272,130,2016,18,402,142,0.24777448071216618,0.6766169154228856,18.0,422.0,0.6619718309859155
Acqua di Gioia Giorgio Armani (female) ~ 2010,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gioia-8442.html,236,106,2010,19,342,130,0.22997032640949555,0.6900584795321637,19.0,421.0,0.6721311475409836
Pacific Rock Moss Goldfield & Banks Australia (unisex) ~ 2016,https://www.fragrantica.com/perfume/Goldfield-Banks-Australia/Pacific-Rock-Moss-44120.html,243,126,2016,20,369,117,0.21068249258160238,0.6585365853658537,20.0,420.0,0.6437659033078881
Afternoon Swim Louis Vuitton (unisex) ~ 2019,https://www.fragrantica.com/perfume/Louis-Vuitton/Afternoon-Swim-53947.html,222,97,2019,21,319,125,0.2225519287833828,0.6959247648902821,21.0,419.0,0.6763848396501457
Aqva Pour Homme Marine Bvlgari (male) ~ 2008,https://www.fragrantica.com/perfume/Bvlgari/Aqva-Pour-Homme-Marine-1742.html,219,103,2008,22,322,116,0.20919881305637983,0.6801242236024845,22.0,418.0,0.661849710982659
Nautica Voyage Nautica (male) ~ 2006,https://www.fragrantica.com/perfume/Nautica/Nautica-Voyage-913.html,238,145,2006,23,383,93,0.17507418397626115,0.6214099216710183,23.0,417.0,0.6093366093366094
Millésime Impérial Creed (unisex) ~ 1995,https://www.fragrantica.com/perfume/Creed/Millesime-Imperial-466.html,232,149,1995,24,381,83,0.16023738872403562,0.6089238845144357,24.0,416.0,0.5975308641975309
