name,link,upvotes,downvotes,year,order,total_votes,vote_diff,vote_diff_normalized,ratio,updated_order,inverse_order,bayes
Dior Homme Intense 2011 Dior (male) ~ 2011,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Intense-2011-13016.html,477,281,2011,1,758,196,1.0,0.6292875989445911,1.0,583.0,0.6245259165613148
Terre d'Hermès Hermès (male) ~ 2006,https://www.fragrantica.com/perfume/Hermes/Terre-d-Hermes-17.html,466,280,2006,2,746,186,0.9591836734693879,0.6246648793565683,2.0,582.0,0.62002567394095
Fahrenheit Dior (male) ~ 1988,https://www.fragrantica.com/perfume/Dior/Fahrenheit-228.html,432,280,1988,3,712,152,0.8204081632653062,0.6067415730337079,3.0,581.0,0.6026845637583893
Aventus Creed (male) ~ 2010,https://www.fragrantica.com/perfume/Creed/Aventus-9828.html,433,306,2010,4,739,127,0.7183673469387755,0.5859269282814614,4.0,580.0,0.582901554404145
La Nuit de l'Homme Yves Saint Laurent (male) ~ 2009,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/La-Nuit-de-l-Homme-5521.html,395,247,2009,5,642,148,0.8040816326530613,0.6152647975077882,5.0,579.0,0.6103703703703703
Dior Homme Parfum Dior (male) ~ 2014,https://www.fragrantica.com/perfume/Dior/Dior-Homme-Parfum-27417.html,363,189,2014,6,552,174,0.9102040816326531,0.657608695652174,6.0,578.0,0.6495726495726496
Oud Wood Tom Ford (unisex) ~ 2007,https://www.fragrantica.com/perfume/Tom-Ford/Oud-Wood-1826.html,317,147,2007,7,464,170,0.8938775510204082,0.6831896551724138,7.0,577.0,0.6720321931589537
Encre Noire Lalique (male) ~ 2006,https://www.fragrantica.com/perfume/Lalique/Encre-Noire-1834.html,296,151,2006,8,447,145,0.7918367346938777,0.6621923937360179,8.0,576.0,0.6520833333333333
Bleu de Chanel Chanel (male) ~ 2010,https://www.fragrantica.com/perfume/Chanel/Bleu-de-Chanel-9099.html,342,276,2010,9,618,66,0.46938775510204084,0.5533980582524272,9.0,575.0,0.5514592933947773
Eau Sauvage Dior (male) ~ 1966,https://www.fragrantica.com/perfume/Dior/Eau-Sauvage-231.html,274,150,1966,10,424,124,0.7061224489795919,0.6462264150943396,10.0,574.0,0.6367614879649891
The One for Men Eau de Parfum Dolce&Gabbana (male) ~ 2015,https://www.fragrantica.com/perfume/Dolce-Gabbana/The-One-for-Men-Eau-de-Parfum-31909.html,283,170,2015,11,453,113,0.6612244897959184,0.6247240618101545,11.0,573.0,0.6172839506172839
Acqua di Giò Profumo Giorgio Armani (male) ~ 2015,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Profumo-29727.html,280,185,2015,12,465,95,0.5877551020408164,0.6021505376344086,12.0,572.0,0.5963855421686747
Egoiste Chanel (male) ~ 1990,https://www.fragrantica.com/perfume/Chanel/Egoiste-613.html,236,128,1990,13,364,108,0.6408163265306124,0.6483516483516484,13.0,571.0,0.6372795969773299
Green Irish Tweed Creed (male) ~ 1985,https://www.fragrantica.com/perfume/Creed/Green-Irish-Tweed-474.html,243,145,1985,14,388,98,0.6000000000000001,0.6262886597938144,14.0,570.0,0.6175771971496437
Dior Homme Dior (male) ~ 2011,https://www.fragrantica.com/perfume/Dior/Dior-Homme-13015.html,246,176,2011,15,422,70,0.48571428571428577,0.5829383886255924,15.0,569.0,0.578021978021978
Layton Parfums de Marly (unisex) ~ 2016,https://www.fragrantica.com/perfume/Parfums-de-Marly/Layton-39314.html,197,84,2016,16,281,113,0.6612244897959184,0.701067615658363,16.0,568.0,0.6815286624203821
A*Men Pure Havane Mugler (male) ~ 2011,https://www.fragrantica.com/perfume/Mugler/A-Men-Pure-Havane-11444.html,211,113,2011,17,324,98,0.6000000000000001,0.6512345679012346,17.0,567.0,0.6386554621848739
Acqua di Gio Giorgio Armani (male) ~ 1996,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-410.html,233,174,1996,18,407,59,0.4408163265306123,0.5724815724815725,18.0,566.0,0.5681818181818182
Prada L'Homme Prada (male) ~ 2016,https://www.fragrantica.com/perfume/Prada/Prada-L-Homme-39029.html,195,110,2016,19,305,85,0.5469387755102042,0.639344262295082,19.0,565.0,0.6272189349112426
L’Homme Ideal Eau de Parfum Guerlain (male) ~ 2016,https://www.fragrantica.com/perfume/Guerlain/L-Homme-Ideal-Eau-de-Parfum-37735.html,193,108,2016,20,301,85,0.5469387755102042,0.6411960132890365,20.0,564.0,0.6287425149700598
