name,link,upvotes,downvotes,year,order,total_votes,vote_diff,vote_diff_normalized,ratio,updated_order,inverse_order,bayes
Tobacco Vanille Tom Ford (unisex) ~ 2007,https://www.fragrantica.com/perfume/Tom-Ford/Tobacco-Vanille-1825.html,726,397,2007,1,1123,329,1.0,0.6464826357969724,1.0,490.0,0.6405570060922542
Hypnotic Poison Dior (female) ~ 1998,https://www.fragrantica.com/perfume/Dior/Hypnotic-Poison-219.html,602,342,1998,2,944,260,0.8130081300813008,0.6377118644067796,2.0,489.0,0.6309278350515464
Ani Nishane (unisex) ~ 2019,https://www.fragrantica.com/perfume/Nishane/Ani-54785.html,440,170,2019,3,610,270,0.8401084010840109,0.7213114754098361,3.0,488.0,0.7075471698113207
Spiritueuse Double Vanille Guerlain (female) ~ 2007,https://www.fragrantica.com/perfume/Guerlain/Spiritueuse-Double-Vanille-3345.html,418,130,2007,4,548,288,0.888888888888889,0.7627737226277372,4.0,487.0,0.7456445993031359
Shalimar Eau de Parfum Guerlain (female) ~ 1990,https://www.fragrantica.com/perfume/Guerlain/Shalimar-Eau-de-Parfum-53.html,461,276,1990,5,737,185,0.6097560975609756,0.6255088195386703,5.0,486.0,0.617300131061599
Dior Addict Eau de Parfum (2014) Dior (female) ~ 2014,https://www.fragrantica.com/perfume/Dior/Dior-Addict-Eau-de-Parfum-2014-28201.html,420,205,2014,6,625,215,0.6910569105691057,0.672,6.0,485.0,0.6605222734254992
Lira Xerjoff (female) ~ 2011,https://www.fragrantica.com/perfume/Xerjoff/Lira-11801.html,354,127,2011,7,481,227,0.7235772357723578,0.735966735966736,7.0,484.0,0.717948717948718
Grand Soir Maison Francis Kurkdjian (unisex) ~ 2016,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Grand-Soir-40816.html,343,160,2016,8,503,183,0.6043360433604336,0.6819085487077535,8.0,483.0,0.667296786389414
Mon Guerlain Guerlain (female) ~ 2017,https://www.fragrantica.com/perfume/Guerlain/Mon-Guerlain-43297.html,334,172,2017,9,506,162,0.5474254742547425,0.6600790513833992,9.0,482.0,0.6466165413533834
Mon Guerlain Eau de Parfum Intense Guerlain (female) ~ 2019,https://www.fragrantica.com/perfume/Guerlain/Mon-Guerlain-Eau-de-Parfum-Intense-55997.html,301,186,2019,10,487,115,0.4200542005420054,0.6180698151950719,10.0,481.0,0.6062378167641326
Noir Extreme Tom Ford (male) ~ 2015,https://www.fragrantica.com/perfume/Tom-Ford/Noir-Extreme-29675.html,259,119,2015,11,378,140,0.4878048780487805,0.6851851851851852,11.0,480.0,0.6658415841584159
Fève Délicieuse (2018) Dior (unisex) ~ 2018,https://www.fragrantica.com/perfume/Dior/Feve-Delicieuse-2018-48392.html,260,128,2018,12,388,132,0.46612466124661245,0.6701030927835051,12.0,479.0,0.6521739130434783
Angélique Noire Guerlain (unisex) ~ 2005,https://www.fragrantica.com/perfume/Guerlain/Angelique-Noire-1021.html,239,89,2005,13,328,150,0.5149051490514905,0.7286585365853658,13.0,478.0,0.7033898305084746
By the Fireplace Maison Martin Margiela (unisex) ~ 2015,https://www.fragrantica.com/perfume/Maison-Martin-Margiela/By-the-Fireplace-31623.html,257,143,2015,14,400,114,0.41734417344173447,0.6425,14.0,477.0,0.6267605633802817
Spicebomb Extreme Viktor&Rolf (male) ~ 2015,https://www.fragrantica.com/perfume/Viktor-Rolf/Spicebomb-Extreme-30499.html,251,138,2015,15,389,113,0.41463414634146345,0.6452442159383034,15.0,476.0,0.6289156626506024
Orchidee Vanille Van Cleef & Arpels (female) ~ 2009,https://www.fragrantica.com/perfume/Van-Cleef-Arpels/Orchidee-Vanille-6463.html,222,109,2009,16,331,113,0.41463414634146345,0.6706948640483383,16.0,475.0,0.6498599439775911
Eau Duelle Eau de Toilette Diptyque (unisex) ~ 2010,https://www.fragrantica.com/perfume/Diptyque/Eau-Duelle-Eau-de-Toilette-9241.html,212,93,2010,17,305,119,0.43089430894308944,0.6950819672131148,17.0,474.0,0.6706948640483383
Un Bois Vanille Serge Lutens (unisex) ~ 2003,https://www.fragrantica.com/perfume/Serge-Lutens/Un-Bois-Vanille-478.html,204,82,2003,18,286,122,0.4390243902439025,0.7132867132867133,18.0,473.0,0.6858974358974359
Vanilla 28 Kayali Fragrances (unisex) ~ 2018,https://www.fragrantica.com/perfume/Kayali-Fragrances/Vanilla-28-52616.html,211,99,2018,19,310,112,0.41192411924119243,0.6806451612903226,19.0,472.0,0.6577380952380952
Herod Parfums de Marly (male) ~ 2012,https://www.fragrantica.com/perfume/Parfums-de-Marly/Herod-16939.html,216,113,2012,20,329,103,0.3875338753387534,0.6565349544072948,20.0,471.0,0.6366197183098592
