name,upvotes,downvotes,year,order
Dior Homme Intense 2011 Dior (male) ~ 2011,907,412,2011,1
Terre d'Hermès Hermès (male) ~ 2006,750,451,2006,2
Fahrenheit Dior (male) ~ 1988,696,403,1988,3
Dior Homme Parfum Dior (male) ~ 2014,612,306,2014,4
La Nuit de l'Homme Yves Saint Laurent (male) ~ 2009,636,359,2009,5
Aventus Creed (male) ~ 2010,694,508,2010,6
Acqua di Giò Profumo Giorgio Armani (male) ~ 2015,556,321,2015,7
Bleu de Chanel Parfum Chanel (male) ~ 2018,556,395,2018,8
The One for Men Eau de Parfum Dolce&Gabbana (male) ~ 2015,494,277,2015,9
Bleu de Chanel Eau de Parfum Chanel (male) ~ 2014,476,279,2014,10
Oud Wood Tom Ford (unisex) ~ 2007,433,193,2007,11
Allure Homme Sport Eau Extreme Chanel (male) ~ 2012,476,280,2012,12
Eau Sauvage Dior (male) ~ 1966,405,191,1966,13
Spicebomb Extreme Viktor&Rolf (male) ~ 2015,412,221,2015,14
Sauvage Dior (male) ~ 2015,503,405,2015,15
Prada L'Homme Prada (male) ~ 2016,380,164,2016,16
Encre Noire Lalique (male) ~ 2006,400,206,2006,17
Tobacco Vanille Tom Ford (unisex) ~ 2007,390,195,2007,18
Green Irish Tweed Creed (male) ~ 1985,378,205,1985,19
Le Male Jean Paul Gaultier (male) ~ 1995,448,348,1995,20
L’Homme Ideal Eau de Parfum Guerlain (male) ~ 2016,375,203,2016,21
Egoiste Chanel (male) ~ 1990,316,134,1990,22
Layton Parfums de Marly (unisex) ~ 2016,327,169,2016,23
Acqua di Gio Giorgio Armani (male) ~ 1996,349,223,1996,24
02 L'Air du Desert Marocain Tauer Perfumes (unisex) ~ 2005,301,130,2005,25
Ombré Leather (2018) Tom Ford (unisex) ~ 2018,298,124,2018,26
Vetiver Guerlain (male) ~ 2000,299,139,2000,27
A*Men Pure Havane Mugler (male) ~ 2011,278,133,2011,28
Dior Homme Dior (male) ~ 2011,281,140,2011,29
Herod Parfums de Marly (male) ~ 2012,272,125,2012,30
Terre d'Hermes Parfum Hermès (male) ~ 2009,284,151,2009,31
Noir Extreme Tom Ford (male) ~ 2015,275,134,2015,32
Egoiste Platinum Chanel (male) ~ 1993,260,143,1993,33
Antaeus Chanel (male) ~ 1981,245,139,1981,34
L'Eau d'Issey Pour Homme Issey Miyake (male) ~ 1994,230,112,1994,35
Bleu de Chanel Chanel (male) ~ 2010,256,172,2010,36
Bvlgari Man In Black Bvlgari (male) ~ 2014,225,111,2014,37
Eau Sauvage Parfum 2017 Dior (male) ~ 2017,234,135,2017,38
Habit Rouge Eau de Toilette Guerlain (male) ~ 1965,234,136,1965,39
L'Instant de Guerlain pour Homme Eau Extreme Guerlain (male) ~ 2005,203,82,2005,40
Tuscan Leather Tom Ford (unisex) ~ 2007,207,94,2007,41
Interlude Man Amouage (male) ~ 2012,230,150,2012,42
A*Men Pure Malt Mugler (male) ~ 2009,208,108,2009,43
Spicebomb Viktor&Rolf (male) ~ 2012,235,170,2012,44
Versace Pour Homme Versace (male) ~ 2008,222,144,2008,45
Allure Homme Edition Blanche Eau de Parfum Chanel (male) ~ 2014,205,114,2014,46
Y Eau de Parfum Yves Saint Laurent (male) ~ 2018,224,162,2018,47
Cool Water Davidoff (male) ~ 1988,223,164,1988,48
Kouros Yves Saint Laurent (male) ~ 1981,219,161,1981,49
M7 Yves Saint Laurent (male) ~ 2002,176,85,2002,50
Bentley for Men Intense Bentley (male) ~ 2013,191,121,2013,51
Ultra Male Jean Paul Gaultier (male) ~ 2015,206,154,2015,52
Eros Versace (male) ~ 2012,199,145,2012,53
Encre Noire A L'Extreme Lalique (male) ~ 2015,186,120,2015,54
Valentino Uomo Intense Valentino (male) ~ 2016,167,83,2016,55
Opium Pour Homme Yves Saint Laurent (male) ~ 1995,158,71,1995,56
Allure Homme Sport Chanel (male) ~ 2004,167,93,2004,57
Jubilation XXV Man Amouage (male) ~ 2007,143,46,2007,58
Dior Homme Cologne 2013 Dior (male) ~ 2013,157,80,2013,59
Pour Monsieur Chanel (male) ~ 1955,147,61,1955,60
Grey Vetiver Eau de Toilette Tom Ford (male) ~ 2014,157,85,2014,61
