link,name_17,upvotes_17,downvotes_17,year_17,order_17,name_18,upvotes_18,downvotes_18,year_18,order_18,name_19,upvotes_19,downvotes_19,year_19,order_19,name_20,upvotes_20,downvotes_20,year_20,order_20,name_21,upvotes_21,downvotes_21,year_21,order_21,name_22,upvotes_22,downvotes_22,year_22,order_22,upvotes_total,downvotes_total,order_total,check_names
https://www.fragrantica.com/perfume/Dior/Dior-Homme-Intense-2011-13016.html,Dior Homme Intense 2011 Dior (male) ~ 2011,761.0,429.0,2011.0,1.0,Dior Homme Intense 2011 Dior (male) ~ 2011,368.0,235.0,2011.0,1.0,Dior Homme Intense 2011 Dior (male) ~ 2011,477.0,281.0,2011.0,1.0,Dior Homme Intense 2011 Dior (male) ~ 2011,907.0,412.0,2011.0,1.0,Dior Homme Intense 2011 Dior (male) ~ 2011,1370.0,573.0,2011.0,1.0,Dior Homme Intense 2011 Dior (male) ~ 2011,1689.0,694.0,2011.0,1.0,5572.0,2624.0,6.0,True
https://www.fragrantica.com/perfume/Hermes/Terre-d-Hermes-17.html,Terre d'Hermès Hermès (male) ~ 2006,749.0,423.0,2006.0,2.0,Terre d'Hermès Hermès (male) ~ 2006,277.0,147.0,2006.0,7.0,Terre d'Hermès Hermès (male) ~ 2006,466.0,280.0,2006.0,2.0,Terre d'Hermès Hermès (male) ~ 2006,750.0,451.0,2006.0,2.0,Terre d'Hermès Hermès (male) ~ 2006,1124.0,562.0,2006.0,2.0,Terre d'Hermès Hermès (male) ~ 2006,1280.0,639.0,2006.0,3.0,4646.0,2502.0,18.0,True
https://www.fragrantica.com/perfume/Creed/Aventus-9828.html,Aventus Creed (male) ~ 2010,723.0,416.0,2010.0,3.0,Aventus Creed (male) ~ 2010,400.0,307.0,2010.0,3.0,Aventus Creed (male) ~ 2010,433.0,306.0,2010.0,4.0,Aventus Creed (male) ~ 2010,694.0,508.0,2010.0,6.0,Aventus Creed (male) ~ 2010,1022.0,640.0,2010.0,4.0,Aventus Creed (male) ~ 2010,1158.0,693.0,2010.0,7.0,4430.0,2870.0,27.0,True
https://www.fragrantica.com/perfume/Dior/Fahrenheit-228.html,Fahrenheit Dior (male) ~ 1988,738.0,490.0,1988.0,4.0,Fahrenheit Dior (male) ~ 1988,288.0,209.0,1988.0,9.0,Fahrenheit Dior (male) ~ 1988,432.0,280.0,1988.0,3.0,Fahrenheit Dior (male) ~ 1988,696.0,403.0,1988.0,3.0,Fahrenheit Dior (male) ~ 1988,869.0,493.0,1988.0,8.0,Fahrenheit Dior (male) ~ 1988,868.0,510.0,1988.0,16.0,3891.0,2385.0,43.0,True
https://www.fragrantica.com/perfume/Yves-Saint-Laurent/La-Nuit-de-l-Homme-5521.html,La Nuit de l'Homme Yves Saint Laurent (male) ~ 2009,608.0,305.0,2009.0,5.0,La Nuit de l'Homme Yves Saint Laurent (male) ~ 2009,326.0,214.0,2009.0,5.0,La Nuit de l'Homme Yves Saint Laurent (male) ~ 2009,395.0,247.0,2009.0,5.0,La Nuit de l'Homme Yves Saint Laurent (male) ~ 2009,636.0,359.0,2009.0,5.0,La Nuit de l'Homme Yves Saint Laurent (male) ~ 2009,836.0,397.0,2009.0,7.0,La Nuit de l'Homme Yves Saint Laurent (male) ~ 2009,1055.0,462.0,2009.0,6.0,3856.0,1984.0,33.0,True
https://www.fragrantica.com/perfume/Chanel/Bleu-de-Chanel-Eau-de-Parfum-25967.html,Bleu de Chanel Eau de Parfum Chanel (male) ~ 2014,583.0,387.0,2014.0,6.0,Bleu de Chanel Eau de Parfum Chanel (male) ~ 2014,208.0,133.0,2014.0,16.0,Bleu de Chanel Eau de Parfum Chanel (male) ~ 2014,208.0,160.0,2014.0,26.0,Bleu de Chanel Eau de Parfum Chanel (male) ~ 2014,476.0,279.0,2014.0,10.0,Bleu de Chanel Eau de Parfum Chanel (male) ~ 2014,1148.0,642.0,2014.0,3.0,Bleu de Chanel Eau de Parfum Chanel (male) ~ 2014,1500.0,717.0,2014.0,2.0,4123.0,2318.0,63.0,True
https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-410.html,Acqua di Gio Giorgio Armani (male) ~ 1996,475.0,312.0,1996.0,7.0,Acqua di Gio Giorgio Armani (male) ~ 1996,100.0,101.0,1996.0,79.0,Acqua di Gio Giorgio Armani (male) ~ 1996,233.0,174.0,1996.0,18.0,Acqua di Gio Giorgio Armani (male) ~ 1996,349.0,223.0,1996.0,24.0,Acqua di Gio Giorgio Armani (male) ~ 1996,533.0,314.0,1996.0,19.0,Acqua di Gio Giorgio Armani (male) ~ 1996,616.0,409.0,1996.0,24.0,2306.0,1533.0,171.0,True
https://www.fragrantica.com/perfume/Dior/Eau-Sauvage-231.html,Eau Sauvage Dior (male) ~ 1966,410.0,227.0,1966.0,8.0,Eau Sauvage Dior (male) ~ 1966,83.0,35.0,1966.0,59.0,Eau Sauvage Dior (male) ~ 1966,274.0,150.0,1966.0,10.0,Eau Sauvage Dior (male) ~ 1966,405.0,191.0,1966.0,13.0,Eau Sauvage Dior (male) ~ 1966,480.0,236.0,1966.0,23.0,Eau Sauvage Dior (male) ~ 1966,422.0,225.0,1966.0,38.0,2074.0,1064.0,151.0,True
https://www.fragrantica.com/perfume/Lalique/Encre-Noire-1834.html,Encre Noire Lalique (male) ~ 2006,386.0,217.0,2006.0,9.0,Encre Noire Lalique (male) ~ 2006,290.0,155.0,2006.0,6.0,Encre Noire Lalique (male) ~ 2006,296.0,151.0,2006.0,8.0,Encre Noire Lalique (male) ~ 2006,400.0,206.0,2006.0,17.0,Encre Noire Lalique (male) ~ 2006,612.0,328.0,2006.0,15.0,Encre Noire Lalique (male) ~ 2006,614.0,352.0,2006.0,23.0,2598.0,1409.0,78.0,True
https://www.fragrantica.com/perfume/Tom-Ford/Tobacco-Vanille-1825.html,Tobacco Vanille Tom Ford (unisex) ~ 2007,398.0,242.0,2007.0,10.0,Tobacco Vanille Tom Ford (unisex) ~ 2007,63.0,30.0,2007.0,83.0,Tobacco Vanille Tom Ford (unisex) ~ 2007,177.0,102.0,2007.0,28.0,Tobacco Vanille Tom Ford (unisex) ~ 2007,390.0,195.0,2007.0,18.0,Tobacco Vanille Tom Ford (unisex) ~ 2007,486.0,238.0,2007.0,21.0,Tobacco Vanille Tom Ford (unisex) ~ 2007,682.0,337.0,2007.0,20.0,2196.0,1144.0,180.0,True
