,fragrance_1,fragrance_2,type_similarity,occasion_similarity,season_similarity,audience_similarity
0,1 Million Paco Rabanne 2008 EAU DE TOILETTE,1 Million Elixir Paco Rabanne 2022,0.898,0.998,0.99,0.999
1,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,1 Million Elixir Paco Rabanne 2022,0.765,0.982,0.938,0.972
2,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.839,0.99,0.94,0.974
3,Acqua di Giò Parfum Giorgio Armani 2023,1 Million Elixir Paco Rabanne 2022,0.131,0.649,0.683,0.908
4,Acqua di Giò Parfum Giorgio Armani 2023,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.206,0.686,0.736,0.906
5,Acqua di Giò Parfum Giorgio Armani 2023,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.454,0.769,0.873,0.937
6,Althaïr Parfums de Marly 2023,1 Million Elixir Paco Rabanne 2022,0.698,0.993,0.97,0.931
7,Althaïr Parfums de Marly 2023,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.731,0.997,0.957,0.916
8,Althaïr Parfums de Marly 2023,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.674,0.995,0.826,0.91
9,Althaïr Parfums de Marly 2023,Acqua di Giò Parfum Giorgio Armani 2023,0.12,0.726,0.514,0.907
10,Ambre Cashmere Intense Parfums de Nicolaï 2015,1 Million Elixir Paco Rabanne 2022,0.607,0.942,0.998,0.686
11,Ambre Cashmere Intense Parfums de Nicolaï 2015,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.668,0.956,0.995,0.655
12,Ambre Cashmere Intense Parfums de Nicolaï 2015,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.586,0.987,0.954,0.648
13,Ambre Cashmere Intense Parfums de Nicolaï 2015,Acqua di Giò Parfum Giorgio Armani 2023,0.255,0.844,0.724,0.62
14,Ambre Cashmere Intense Parfums de Nicolaï 2015,Althaïr Parfums de Marly 2023,0.648,0.972,0.956,0.879
15,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,1 Million Elixir Paco Rabanne 2022,0.622,0.721,0.746,0.971
16,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.545,0.756,0.791,0.964
17,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.751,0.833,0.916,0.974
18,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,Acqua di Giò Parfum Giorgio Armani 2023,0.517,0.991,0.994,0.947
19,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,Althaïr Parfums de Marly 2023,0.517,0.79,0.584,0.98
20,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.632,0.896,0.785,0.786
21,Angels' Share Kilian 2020,1 Million Elixir Paco Rabanne 2022,0.706,0.997,0.961,0.813
22,Angels' Share Kilian 2020,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.815,0.993,0.949,0.789
23,Angels' Share Kilian 2020,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.739,0.973,0.806,0.788
24,Angels' Share Kilian 2020,Acqua di Giò Parfum Giorgio Armani 2023,0.162,0.618,0.492,0.781
25,Angels' Share Kilian 2020,Althaïr Parfums de Marly 2023,0.947,0.987,0.999,0.962
26,Angels' Share Kilian 2020,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.625,0.93,0.945,0.974
27,Angels' Share Kilian 2020,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.512,0.69,0.561,0.9
28,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,1 Million Elixir Paco Rabanne 2022,0.207,0.582,0.567,0.965
29,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.219,0.617,0.634,0.964
30,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.449,0.701,0.79,0.988
